,textID,text,label,label_text
9623,2d43263be0,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn`t try for uni.,1,neutral
3222,f77d30ca96, demi if you can i think itd be amazing if you covered thats what you get by paramore haha im sure you know it,1,neutral
7578,55b2c4a035,_e im going to my dance class now,1,neutral
3128,244f0d6f3e,"2,697 views on my FLickr Account.. Maybe is not much for you...  but I`m happy  ... YAY http://www.flickr.com/photos/bonassin/",2,positive
10663,063a81606f,"Looking to sketch final catwalk outfit, i really REALLY want my long pink hair back. i also want to dye my models hair pink not allowed",2,positive
18707,f615033487,Brand new is playing at the epicenter in July when I`m in NY. Jesse lacey why do you hate me?,0,negative
8028,bbe3cbf620,test test from the LG enV2,1,neutral
14670,2de29783f4,Sometimes it hurts that pets cant talk back to us. What if they are in pain. How would they tell us.,0,negative
20138,f9915f381d, dude... i tried the vegetarian thing and i lasted about 2 months... good luck!!! going vegan is intense!!! good move though.,2,positive
4484,5f814111a8,Epicfail and Joseph in class... Very long liao,0,negative
21801,aa06c3a9f0, a whole season behind the US now,1,neutral
20202,a2e23806f9,Pulled out the breakfast sausage for Mothers Day. Hopefully the baby sleeps in,2,positive
7722,421beb7e2b,"_city Hey, u like FOB 2! Follow me, luv 2 talk more, looking 4 frineds + followers!  ~Ellen~",2,positive
5472,e4a8bc33d2, hope our wishes come true someday.,2,positive
21702,7ff32ec148," its like a little adventure, only Im kinda worried about her, and I cant take the bus to where she is cos my oyster is broken",0,negative
4028,e0e5033f99," Also, HAPPY STAR WARS DAY!!!",2,positive
2315,8ff3cc0ea5,is addicted to the pet society app on facebook,1,neutral
17485,6f4f24aac8, Thank you  and hope you are having a great day,2,positive
21742,37e25e8a0d,Jus sittn here thinkin....wow yo my boy is really gone! Smh yo! Its bout to be 3 weeks on Sunday!  R.I.P VON,0,negative
10328,43921317de, Musashi`s? Has a great rep. Or did you go to Kitaro,2,positive
10945,e01e3b75a8,typical Google Docs is down  oh well open Pages,1,neutral
3233,b0cce5a6b8,"Would like to remind people that I am OUT of Kansai Scene, and whatever the current issue is like, I have had nothing to do with it",0,negative
695,6e57a8403b,Had lunch. Watching holes on bbc1.,1,neutral
8668,27810adee5, doesnt look good  we have to go burn some lampions,0,negative
6887,09f6a273f5,   sending you love on mother`s day and wishing you more happiness in the days ahead!,2,positive
6659,1b8d31d6b3, have you seen 'The Fifth Element'? makes 'super green' a lot funnier,2,positive
1020,07aabdc5dc,John making me wear a mask and gloves at work cause I`m sick. Says he doesn`t want to catch swine flu.  http://yfrog.com/02mxjj,0,negative
10924,0bc3d2ce9f,"Im feeling so nostalgic. Im sad. But happy. I don`t now how to feel. It`s over, but not at the same time. It just feels over.  i love you.",2,positive
3023,cc2b050151,dice watching Heroes again.  http://plurk.com/p/svhvh,1,neutral
5357,5e4eac2b2e, its the best show EVER!,2,positive
20698,bde58be518,my fab broke,0,negative
21891,592be1cc63," wouldn`t that cost quite a bit, I mean flying pizza from China? Nice fusion idea I may have to experiment",2,positive
2724,5c326d72a3,Not feeling too good,0,negative
15467,f22ef5b614,finally leavin tha studio.Made some really really good music! Very pleased wit tha turnout  !,2,positive
20453,b15b4b550b," Years ago, my brother saw you and Bruce walking on the sidewalk in Sanibel. I used to live on Pine Is. Great place",2,positive
15668,bb2158aefc, thank you. We had a blast,2,positive
4170,f81159659d, garcia bend- learned that lesson last night! I thought i was gonna throw up! Got our tix for fashion show at end of mo.,1,neutral
19716,a7359fdab1," awww bb, you sound lonely  I want to drive up there/fly and snuggle you too",0,negative
7109,fa319d237a,LOL OMG  replied back to me out of all ppl!! THX,2,positive
4199,a351c5032a,watching  on SNL,1,neutral
3455,d9f7bd1045,Ow. Sunburn hurts!,0,negative
19333,52656c7de9,My friend went to New York without me and all I got was this picture of her and Will Smith  http://twitpic.com/669l2,1,neutral
12936,31155fb47b,_Songs I know  Especially since the summer is such a boring TV time to begin with.,0,negative
11405,141b506382," Hi man, yeah I so wanna go, but I`m on Maui  #liloven",0,negative
4104,a891fa0eea, thanks lady.... bummer for sure.,2,positive
9229,be80c8d17b,shouldn`t have stayed up til almost 2 reading 'rules' but i did. such a good book. totally worth the sleep deprivation.,2,positive
21072,3696d1db81,comes home in two days,1,neutral
2425,494e5deeff,ok so i`m a lil happier now.. i hope i fixd my emails.. hope they weren`t hacked although it seemed really suspicious!!,1,neutral
18251,984f2e1112," I`m sure it was amazing  Wish I could have been there :] You`re an incredible, phenomenal, amazingly talented singer",2,positive
1084,90491300b6," Gleneagles then champagne receptions....can`t beat it! I`m in alone, my tea was rubbish and Ive been doing housework",0,negative
12076,b6500aeb87," Yep, they sang your song!",1,neutral
6281,852481b907,flashlight tag!  i love playing games in the dark.,2,positive
18947,eed0efff4e,Got told I got a good chance at gettin the job  I am so so excited .omgggg. When I come back I want too...,2,positive
21688,4209a235dd,"I`m seeing quite a few proto-furries here, now that I think of it.  #acen",1,neutral
1624,72b9f8f048, SICK! I`m totally getting GH5!! Too bad you guys didn`t get to play in Boston,0,negative
11438,cb349bae1a,im still melting and im in the house in the shade  its not fair.,0,negative
12072,f9fb2bd62e,OPS sorry  Queen Mom,0,negative
18817,a6b1d92a86,homework,1,neutral
9645,5660901cdc,_is_one84 Those suck so bad.,0,negative
14697,5515e8165b, awww  ok lol hopefully by than im still here and not back over in the states,2,positive
790,80bb02b1c1, Enjoy the ride,2,positive
13034,e9ee293ca3,I SO should`ve gone right now!!! *wish I could alter time!!  *,0,negative
499,bd59625046,it`s Blockbuster week in New Zealand - 'Wolverine' tomorrow followed by 'Star Trek' on Thursday!,2,positive
17423,ddd8630279,finished watching the movie `mirrors`. I liked it but it really didnt do anything for me  5 out of ten i give it   // cool http://g ...,2,positive
21071,83a44d5505, OK  Just a thought that occured to me...,1,neutral
335,fa0aed2111,"Visit 2  La Ventana de los Cielos foundation was pushed bck 2 weeks,  was so excited 2 go & meet the kids. I`ll have 2 wait another 2 wks",0,negative
18157,d298680942," Yeah, they`re great. I think we`ll hear more of them in the years to come",2,positive
2075,342b10863f, not a fan,0,negative
2136,f7e258097a,Dead gerbil,0,negative
5570,32ff2ff102," Oh, fabulous ta.  I`m with the coffee too, obviously, although my cup is not large enough to embrace which is its deficiency.",1,neutral
14351,f8a03c9d2c,Just found out my parents are putting down my dog tomorrow morning. Upset,0,negative
21401,388c6acb71,fireworks @ KBOOM concert... second best I`ve ever seen...preceded only by last year`s show 2008 <sigh>,2,positive
13955,86db8cc373,I am so hungry! And there is no food for me to steal,0,negative
3784,4aaf1fba45,I am following Mya,1,neutral
18781,4f2c4232d5,When it rains it pours. Life sucks,0,negative
6421,2262e34ae2,http://twitpic.com/4jhp8 - Waitin on them 2 tell me what`s the plan,1,neutral
3635,9f322286a3,And this is what happens when Swine Flu gets to all of us.  http://tinyurl.com/55hq2o,1,neutral
13358,4634855b53,home sweet home  sleeping until monday I hope.,1,neutral
13905,81ad19d8bf,lmfaoooo i **** love this showwwww,2,positive
13191,95a462e055,Have been feeling very sick    had day off today... ARRRGH,0,negative
8565,ffbdfabc5d,oh men!!!!!!......I really can`t see my face........c`mon guys!!!,1,neutral
18814,30116fe6bd," Josh  Excuse me, but, at what time is it going to begin?",1,neutral
8542,dd94cd3a26, ahhh.. what about the others? like #hoppusday and etc? I`m such a spazz,0,negative
19688,0039c7e4a4,is gonna have an irish wedding,1,neutral
6518,84200d46e6,"Visiting the grandparents in Manhattan, and dropping off my sister for the week! I wish I had an excuse to be so tired today..",0,negative
2003,7908571329,_shines92 aww that sucks,0,negative
21430,7c7e99a187,_x ah that`s annoying,0,negative
14621,a2b7bc3f2a, psh... I`m not cool enough to go to their open-houses.,0,negative
12547,86fdd3fd56, You know what?  That cowboy hat in your pic made me smile today (you don`t see many of those in Japan),2,positive
3473,c34359ded9,"despite rain, having a fantastic day",2,positive
18346,9db3cb33a2,_1 yeah we only went for 5 days  im trying to get back in november with my mom for super soak stars weekend,1,neutral
10712,fb616ff5b5, Sry I missed your calls. I fell asleep out of boredom. Colorado Sunrise was enjoyable though.  I actually could hear it. xD,1,neutral
5099,452eadb178,omg!!! mcdonalds combo and wendys sundae = puke material,0,negative
13870,185539ef01,"Just got home from the bank, the teller was definitely hitting on me. Not interested.",1,neutral
11358,1df6c1a28f," oh dear. (I`m sorry, but i laughed  )",0,negative
6593,38a69ed9ec,add me up: http://profiles.friendster.com/americanidolislove  friendster.,2,positive
16588,b7d300e8c7, hahah I wish that was true. This is really really bad  just gonna stay home and chill tonight. And as usual I REALLY wanted to go.,1,neutral
5504,991c2301eb,Decided not to go...I want to see my sweetie  But I can`t.,0,negative
1703,fa3fb3592f,"rcb trashes mumbai indians....  i feel bad for mumbai indians, they just didn`t know what hit him...",0,negative
16752,ad4a12022c,Watching the 3rd episode of JONAS,1,neutral
3964,234a6c8c35,**** everything,0,negative
3494,41c7b541e2,EMO moment!!  Just said good bye to my best friends EVER! But we`ll meet again for sure!,2,positive
8361,60bbcd57ef, ) NICE. I want it. I`ll get the pirated. ) I MISS YOU,1,neutral
18613,71769b6851,YAAAAY! I think I might have Aced my history test today!,2,positive
12094,c567514034,  hahaha well its try its so ugly,0,negative
19202,3154e969c6,Happy Star Wars Day  - May the Fourth be with you,2,positive
1202,b27918c936, I no  he`s the same friend that went with my bf to something at t... Read More: http://is.gd/JmjB,1,neutral
7172,66b02ead15,Bass drum heads breaking equals bust. Who needs tickets for May 15th? You?,1,neutral
31,08196f84ed,"Repeat final seconds of Game 3 Dal-Den please! **** THOSE OFFICIALS. :| Anyway, happy mothers day.",1,neutral
697,9bc6dac59c,likes cheerios and scones in the morning,2,positive
18367,27829f7178, i wish i had friends i could spend the night with,0,negative
19101,270753748d, I`m doing an experiement,1,neutral
631,14823c91a2,"Warhammer 40k: Space Marines `officially` announced, only for 360 and PS3.  No luck for PC gamers",0,negative
15133,698124aa32,in 1st period. i hate this class. can`t wait until i`m home!!!!!!!!!  i`ll b the happiest person in the world wen i`m home!!!,1,neutral
10353,ab456839b7," Thought you was one of the best on Heroes, pitty they are killing all of the good characters off  how do i use this thing!? lol",2,positive
7007,98a7e00c8b,dammit i cant watch stadium music,0,negative
12606,43abe86bad, glad to hear it`s good bank holiday weather down there to,2,positive
11942,e3d824d128, i`m watching CQC a brazilian humor program,1,neutral
5532,95a60b53a0,is very angrrry! my FB account just got deleted- WTF??? all my poems I have ever written are on there,0,negative
635,2c221c7be6,"It`s official, I`m finally getting grey hairs at 36  #fb",1,neutral
4186,f64f1a4d4b, fey slays it in #30rock but title of that film sounds bad  #Inbruges is a funny indie little euro city hitman gone bad tale!,1,neutral
14842,15e01e1749," Certainly not Cheers than, huh?",1,neutral
8117,297bc17467,Last day in Dijon,1,neutral
19680,5bea5b6af8,early morning golf on a sunny day,1,neutral
8545,d237d2f006, now that you say that you do look like demi  hahaha!! Yessss august 2nd will be a blast,2,positive
9854,5f3bde3bf7,<i>Waiting For Natie to come online I miss him,0,negative
5187,8fb17e7f1b,I`m having a fantastically miserable time so far...,1,neutral
5900,7f7bd175fb," hey! negative on the primatech, this handle`s been on the tubes for a decade longer than heroes has",0,negative
3585,9d1dda4962,Screw it I`m going shopping. I`ll be back by like 3 anyway and then I`ll do hard core revision,1,neutral
19934,a35edb35b9, ooh good then  Thank you for the heads up bro,2,positive
12134,99c4388c9c,"When someone edit your designs is called plagiarism right??, but what can you do??, I`m tired, exhausted and dissapointed",0,negative
14977,7b775eea6c,"my wack friends are all raiding my kitchen. RENE, my love bound for badluck and DEBBIE, my psycho korean friend.  <3",2,positive
14542,788496c38f,With matt.,1,neutral
19727,507d4b7d30, that sucks - I`m still hungry and sucked down my food.,0,negative
20444,ee1067d6be,oh...my foot`s hurting now. About 5 minutes after I took it out though.,0,negative
10590,96a16ff677,and so to London in a car that`s about 500 degrees with no air con!,1,neutral
19109,591a7acf09,"went to galveston, want to go back",2,positive
2386,3dc383accc, great song even if i can`t understand lol,2,positive
6069,1e8fe80d40, I made my parents add u guys on the family myspace...they were impressed by the song.,2,positive
5687,ce5c7c3e37," Yea, D means direct, so only u and whoever u send it to can see it  But u can only direct msg someone who`s following u..",1,neutral
15236,8818885db5,coming back drom camp!!! there was no cell fone reception =0 so im so happy were back in QLD and a little bit tired,2,positive
11370,d20d1ba3e3,"_anekie ok darl, i will suggest you to the MUA (Tracie Weaver), as she`ll be making the decision",1,neutral
15347,9e962ba736,With bff _chrissy22 glad she got that dog out of here lol my stomatch hurts,0,negative
17821,0608b8bfe2, I know. I was hoping to meet you tonite  & I just found out a few min ago that we have a mutual friend Cuong H.,1,neutral
3393,aa1c6537f7,if not impossible,1,neutral
21912,9a0c9c8338,Looks like no diamond ball for me,0,negative
19766,7f38289044, have a great camp!!!!! Wish I could be there.,2,positive
5848,e1bdb0cdb6,Love the idea of giving each year a theme. This is the year of new beginnings!,2,positive
12386,816217658d," - try thinking of something calm and peaceful, such as relaxing on the beach.",2,positive
9165,e38943d3e1," No, I`m working on it all day Monday. Will try to remember to email but if you`re smart you`ll remind me.",2,positive
16696,50cc7ee04b,Dang my own LDBF didnt give me a Follow Friday shot out,0,negative
12114,524fbb5c72," lol, good luck with that ;) love your vid for YBWM",2,positive
17949,f1125b5152,Ugh Final Exam today....Ready for my Summer to start.,1,neutral
4391,15fcc151c5,i want to cry,0,negative
19487,0f361614b7,Scary guy on colbert...,0,negative
3165,f2951b3ba9,Signup for Dojo workshop in Munich (http://tinyurl.com/ct83ub ) ends today. Hurry up,1,neutral
7717,2ff5a1078b,Licking chocolate crumbs off a Twirl wrapper like Zammo on smack,1,neutral
18282,080fda8282,lunch in the forrest ... its so baron.  fpu is so dead,1,neutral
4333,5a1fb678df, i looked for you but couldn`t find you amongst the crowd,1,neutral
5966,1a6b5fd0b4,  #amtarot Thank you so much!,2,positive
115,c4b1d75136,_H ok so who do you know on Daisy of Love? And have you seen it yet. oh lord,1,neutral
928,df1f980d8e," take it. mmm, definitely.",1,neutral
18355,bc67361aa6,The only way I`ll feel safe is when he`s finally in jail where his stalker **** belongs!,1,neutral
15115,0cb50ad240," Storysize is 2 (and it`s posted as a short story, not one liner), but doesn`t show up in any news friends can see. Only in wall",1,neutral
4678,0f54f2bb3d, it wont let me,1,neutral
11728,3da31fa687,"Youtube`s tubes appear to be clogging up somewhat today, connection errors a plenty.",0,negative
10523,29a2921b23,hangover today,1,neutral
21951,b6ec6d35ed,I`m SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonight  well . . . most of them anyway.,2,positive
6279,96c5b4862c,listening to a new Stolen Sheep record,1,neutral
10862,ce9e055eaf,My mom likes Milow`s version of Ayo Technology... It`s a good thing she doesn`t have a clue what it`s about.,2,positive
4600,e2e8eb98c1,Sad that when fitness center reopens will not have our Zumba class anymore.  Just found out today on our last class before closure.,0,negative
16191,c8c3ef8aaf, u don`t love me  no follow..how was your night? ;-),1,neutral
5954,7f2caf1d49,"i miss the jokes and making fun of ppl and throwing ideas for songs, movies, and shows at eachother the most.  that`ll never go away...",0,negative
3472,4dec928260, i no its so warm isnt it!! :O My arms are sore  Bad times. My face is a little red too :S,0,negative
11638,f49c1ebb53,Happy Mother`s Day! It will be a good day,2,positive
21603,47d014b2d8,"Oh, ew. That`s too bad - after not using this certain lip gloss for a long time I just tried to wear it - literally making my lips burn.",0,negative
10249,52ce8dd1ee," Philippines tour, please? Please? Please?",1,neutral
7588,74a59b5b92," wow, great to know a piece of software ensures our timely project delivery  #ProductNamingRulez",2,positive
1692,c3abca2045, That sucks majorly...hhhmmmnnn...I`m thinking...I would`ve said the self tanner or a really good concealer...I`m stuck,0,negative
21119,5b8d1c911c,"I`m not going to lie, I`m loving the Ace of Cakes  wooop! LOST!",2,positive
7474,5900fb4a11,I feel like I`m going to toss my cookies,1,neutral
2498,a5d5787776,"Math was not fun at all. Oh well, i get to cook as soon as i get home.",0,negative
5359,269a1d9936, good morning...did you break 5 digits yet?,2,positive
17115,8cc4f0e5a0," that is cute, a manly cute of course.  reminds me of a Scion",2,positive
5557,22d7ee60ad, boo  you can come over and we`ll watch telenovelas and braid each others hair.,1,neutral
8870,c049a372a4,Why are embossers so expensive? Can I do get one on the cheap? Trying to save 75%. Papersource order goes in TONIGHT. Sry bank account,1,neutral
1554,7c400ab7bd,Be beautiful        http://www.theskinsociety.com,2,positive
17971,77abfe4808,I want korean bbq so baddd but no one can come with me,0,negative
19353,3ee887d660,"srsly, nobody evr reply`s 2 me.",0,negative
10549,5c211a0e68,is tired. 04:30 alarm setting will do that  Off to bed as soon as my bloody iPhone Backup and Sync finishes.,0,negative
11012,e97e56c3d4," I`m hearing lots of good things about the new Trek movie. I`ll see if my Dad, 'a fellow Treky', would like to see it",2,positive
7800,d779cb579c,Britt - had to do it she came all the way down to say `May the fourth be with you` - our work is done,2,positive
18366,a1f3adf7ea,Talking to my best mate and my boyfriend on msn,1,neutral
4779,e3c4e7de07," Hi Simon, I`m new to this too - but just thought I`d tell you Jimmy Carr has tweeted that you make the Star Trek movie.",1,neutral
16539,617f522bf8,I have ants in my apartment,1,neutral
19361,7225190154,just dropped my biscuit in my tea,1,neutral
9564,e553b3fccd,"Bye. Tekzilla, then revision.",1,neutral
16022,6f93fe06ce, no not that expensive  windows or linux,1,neutral
1337,a6ffb21858,Hellooooooo... Whats the scene people !!!,0,negative
2480,5ba27f7ecc,"_x Hey 'Cameron', I know it was amazing and I have sunburn too  So my mum isn`t happy,, . & my throat kills . . Still <3 it",1,neutral
1604,3da72bac3f, thanks got it will contact you if i am having troubles!Thanks,2,positive
